bin_1,bin_2,bin_3,bin_4,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,user_id,target
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.5478,1.0,0.1979,0.1484,0.2,0.3088,0.5478,0.1979,0.0,0.3416,0.5896,0.0044,0.1331,0.64,ab4271a7,46a2c293,1b71ea44,906ec1b2,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.3566,0.0,0.1546,0.1161,0.4,0.3151,0.3566,0.1546,0.0,0.2547,0.2645,0.0036,0.287,0.5026,ab4271a7,46a2c293,1b71ea44,302faacd,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.3566,0.65,0.1546,0.0194,0.2,0.4066,0.3566,0.1546,0.0294,0.0248,0.1354,0.0036,0.2305,0.5026,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,0.99,0.1649,0.0387,0.0,0.0631,0.0713,0.1649,0.1471,0.0932,0.2634,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.0,0.0,0.3093,0.0452,0.0,0.0,0.0,0.0,0.0,0.118,0.1807,0.0471,0.0082,0.7846,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.1427,0.0,0.1649,0.0387,0.0,0.1423,0.1427,0.1649,0.1471,0.0932,0.1988,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1546,0.0387,0.0,0.0737,0.0713,0.1546,0.1471,0.0932,0.1812,0.0036,0.0254,0.5026,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.4479,0.59,0.3093,0.0452,0.2,0.4824,0.4479,0.3093,0.0,0.1056,0.1614,0.0044,0.1104,1.0,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,1.0,0.0,0.1979,0.1355,0.0,0.7378,1.0,0.1979,0.0294,0.3106,0.3777,0.0044,0.0097,0.64,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,0,0,1,0.3994,0.0,0.1732,0.0387,0.0,0.4924,0.3994,0.1732,0.1471,0.0932,0.102,0.0036,0.0254,0.5629,ab4271a7,46a2c293,1b71ea44,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1263,0.1427,0.1649,0.1471,0.0932,0.2634,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.15,0.1427,0.1649,0.1471,0.0932,0.1727,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.3566,1.0,0.1546,0.0452,0.0,0.3586,0.3566,0.1546,0.0588,0.1118,0.1948,0.0479,0.0089,0.3907,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.3566,0.65,0.1289,0.0194,0.2,0.4066,0.3566,0.1289,0.0294,0.0248,0.1354,0.0036,0.2305,0.4188,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.0,0.0,0.3093,0.0452,0.0,0.0,0.0,0.3093,0.0,0.118,0.1807,0.0471,0.0082,0.7846,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1649,0.0452,0.0,0.0701,0.0713,0.1649,0.0588,0.1118,0.2062,0.0471,0.0089,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1546,0.0387,0.0,0.0793,0.0713,0.1546,0.1471,0.0932,0.1466,0.0036,0.0254,0.5026,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1665,0.1427,0.1649,0.1471,0.0932,0.1252,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3566,1.0,0.1546,0.0452,0.0,0.3414,0.3566,0.1546,0.0,0.118,0.2202,0.0471,0.0082,0.3923,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3566,0.56,0.1546,0.0452,0.2,0.3841,0.3566,0.1546,0.0,0.1056,0.1614,0.0044,0.1104,0.5,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,0,0,1,0.4479,0.0,0.3093,0.0452,0.0,0.4985,0.4479,0.3093,0.0588,0.1118,0.1462,0.0471,0.0089,0.7846,dc029453,e9b19332,254a1505,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.3566,0.0,0.1546,0.0387,0.0,0.3367,0.3566,0.1546,0.1471,0.0932,0.2277,0.0036,0.0254,0.5026,ab4271a7,46a2c293,1b71ea44,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,0,0,1,0.3994,0.0,0.1732,0.0387,0.0,0.3741,0.3994,0.1732,0.1471,0.0932,0.232,0.0036,0.0254,0.5629,0088407c,471c6c1b,1b71ea44,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,1,0,1,0.3566,1.0,0.1546,0.1032,0.0,0.3565,0.3566,0.1546,0.0,0.236,0.1979,0.0471,0.0466,0.3923,0088407c,471c6c1b,1b71ea44,19ca07d9,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1546,0.0387,0.0,0.0737,0.0713,0.1546,0.1471,0.0932,0.1812,0.0036,0.0254,0.5026,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1546,0.0387,0.0,0.0673,0.0713,0.1546,0.1471,0.0932,0.2277,0.0036,0.0254,0.5026,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3566,0.84,0.1546,0.0452,0.2,0.4193,0.3566,0.1546,0.0,0.1056,0.122,0.0044,0.1104,0.5,dc029453,e9b19332,254a1505,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,1,0,1,0.4565,0.16,0.1649,0.0452,0.0,0.437,0.4565,0.1649,0.0,0.118,0.2202,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.5706,0.25,0.1649,0.0452,0.0,0.5347,0.5706,0.1649,0.0,0.118,0.2316,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.0,0.0,0.3093,0.0452,0.0,0.0,0.1897,0.3093,0.0,0.118,0.1807,0.0471,0.0082,0.7846,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1649,0.0452,0.0,0.0694,0.0713,0.1649,0.0588,0.1118,0.2116,0.0044,0.0089,0.5333,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3566,1.0,0.1289,0.1032,0.0,0.3565,0.3566,0.1289,0.0,0.236,0.1979,0.0471,0.0466,0.3269,0088407c,471c6c1b,1b71ea44,19ca07d9,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.4565,1.0,0.1649,0.0452,0.0,0.4278,0.4565,0.1649,0.0,0.118,0.2316,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3566,1.0,0.1546,0.1032,0.0,0.3272,0.3566,0.1546,0.0,0.2298,0.2432,0.0036,0.0049,0.5026,ab4271a7,46a2c293,1b71ea44,19ca07d9,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,0,0,1,0.8559,0.0,0.1546,0.0903,0.2,0.8217,0.8559,0.1546,0.2059,0.2174,0.2188,0.0036,0.1225,0.5026,dc029453,e9b19332,254a1505,31f4786e,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,0,0,1,0.4479,0.0,0.3093,0.0452,0.0,0.4438,0.4479,0.3093,0.0588,0.1118,0.2023,0.0471,0.0089,0.7846,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.3566,0.65,0.1546,0.0194,0.2,0.4066,0.3566,0.1546,0.0294,0.0248,0.1354,0.0036,0.2305,0.5026,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,1.0,0.2,0.1809,0.0194,0.2,0.9258,1.0,0.1809,0.0294,0.0248,0.2382,0.0036,0.2305,0.588,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.4565,0.98,0.1649,0.0452,0.0,0.455,0.4565,0.1649,0.0,0.118,0.1993,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.8559,0.0,0.1732,0.071,0.0,0.8656,0.8559,0.1732,0.0588,0.1739,0.192,0.0036,0.0077,0.5629,dc029453,e9b19332,254a1505,302faacd,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,1,0,1,0.3566,1.0,0.1546,0.0452,0.0,0.3414,0.3566,0.1546,0.0,0.118,0.2202,0.0471,0.0082,0.3923,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3566,1.0,0.1546,0.1032,0.0,0.3565,0.3566,0.1546,0.0,0.236,0.1979,0.0471,0.0466,0.3923,0088407c,471c6c1b,1b71ea44,19ca07d9,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.3994,0.0,0.1732,0.0387,0.0,0.4092,0.3994,0.1732,0.1471,0.0932,0.1855,0.0036,0.0254,0.5629,0088407c,471c6c1b,1b71ea44,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.5478,1.0,0.1979,0.0387,0.0,0.4396,0.5478,0.1979,0.1471,0.0932,0.3223,0.0036,0.0254,0.6433,ab4271a7,46a2c293,1b71ea44,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.1427,0.48,0.1835,0.0387,0.0,0.1586,0.1427,0.1835,0.1471,0.0932,0.1466,0.0036,0.0254,0.5964,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.3566,0.0,0.1546,0.0452,0.0,0.466,0.3566,0.1546,0.0588,0.1118,0.0788,0.0044,0.0089,0.5,ab4271a7,46a2c293,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.3994,1.0,0.1732,0.1355,0.2,0.3519,0.3994,0.1732,0.0294,0.2981,0.2661,0.0044,0.1173,0.56,0088407c,471c6c1b,1b71ea44,9ad4f36f,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.0,0.0,0.3093,0.0452,0.0,0.0,0.1897,0.3093,0.0,0.118,0.1807,0.0471,0.0082,0.7846,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.4565,1.0,0.1649,0.0452,0.0,0.4489,0.4565,0.1649,0.0588,0.1118,0.2062,0.0471,0.0089,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.3994,0.04,0.1732,0.129,0.0,0.3084,0.3994,0.1732,0.0,0.2857,0.3471,0.0036,0.0129,0.5629,0088407c,471c6c1b,1b71ea44,9ad4f36f,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,1,0,1,0.1427,1.0,0.1649,0.0452,0.0,0.1337,0.1427,0.1649,0.0,0.118,0.2316,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,1.0,0.0,0.1979,0.1355,0.2,0.9675,1.0,0.1979,0.0294,0.2981,0.2146,0.0044,0.1173,0.64,0088407c,471c6c1b,1b71ea44,9ad4f36f,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,0.5,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.8559,0.0,0.1546,0.0387,0.0,0.874,0.8559,0.1546,0.1471,0.0932,0.1871,0.0036,0.0254,0.5026,dc029453,e9b19332,254a1505,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.0,0.0,0.3093,0.0452,0.0,0.0,0.1897,0.3093,0.0,0.118,0.1807,0.0471,0.0082,0.7846,0088407c,471c6c1b,1b71ea44,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,0,0,1,0.0713,1.0,0.1546,0.0387,0.0,0.0793,0.0713,0.1546,0.1471,0.0932,0.1466,0.0036,0.0254,0.5026,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.8559,0.0,0.1979,0.1419,0.0,0.6859,0.8559,0.1979,0.0,0.3354,0.3232,0.0044,0.0299,0.64,dc029453,e9b19332,254a1505,906ec1b2,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1347,0.1427,0.1649,0.1471,0.0932,0.2277,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.5706,0.0,0.1649,0.0452,0.0,0.4964,0.5706,0.1649,0.0588,0.1118,0.2734,0.0471,0.0089,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,0,0,1,0.3566,0.0,0.1546,0.0645,0.4,0.3177,0.3566,0.1546,0.0294,0.1429,0.2596,0.0036,0.4006,0.5026,0088407c,471c6c1b,1b71ea44,0f68baf6,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
1,0,0,1,0.1427,1.0,0.1649,0.0387,0.0,0.1474,0.1427,0.1649,0.1471,0.0932,0.1812,0.0036,0.0254,0.5361,1139858f,4eb42ee6,6dfa5bce,9ad4f36f,38f3f377,27ff6975,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
1,1,0,1,0.0713,1.0,0.1649,0.0452,0.0,0.0668,0.0713,0.1649,0.0,0.118,0.2316,0.0471,0.0082,0.4184,1139858f,4eb42ee6,6dfa5bce,31f4786e,38f3f377,21cb6e7e,e930f1b4,e58940ba,14ba0d54,user_85245abb,1
0,1,0,1,0.8559,0.0,0.1546,0.0839,0.2,0.8189,0.8559,0.1546,0.0,0.2112,0.2205,0.0036,0.1153,0.5026,dc029453,e9b19332,254a1505,9ad4f36f,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
0,1,0,1,0.3566,0.0,0.1546,0.1032,0.0,0.3272,0.3566,0.1546,0.0,0.2298,0.2432,0.0036,0.0049,0.5026,0088407c,471c6c1b,1b71ea44,19ca07d9,38f3f377,2c7b1da4,e930f1b4,e58940ba,14ba0d54,user_85245abb,0
